,years_exp
258,9
2581,0
3709,3
885,5
5512,1
361,10
3533,0
487,10
5,11
6576,0
3803,3
6540,0
422,10
4759,0
1789,5
564,7
3010,1
2644,1
579,9
1005,6
2593,4
6605,0
1915,1
3372,3
6442,0
5578,1
5665,1
1564,6
3645,3
278,7
6361,0
314,13
6228,0
4289,2
462,20
4956,1
828,8
1407,6
6060,0
4043,0
4306,0
1466,6
6697,0
1470,6
1769,7
4839,2
4878,1
2643,4
3849,0
2430,4
2019,3
6741,0
1561,6
3034,4
3664,3
1901,5
5873,0
4913,1
3330,3
5589,1
974,2
678,14
4298,1
5708,1
4325,2
411,10
2668,4
2482,4
2285,2
3296,3
260,11
3509,3
2078,5
6058,0
5439,1
4516,2
5658,1
5714,1
2757,0
6285,0
4855,0
4673,2
5362,1
3935,0
4167,2
5350,1
1096,4
4184,2
1087,4
2573,0
2833,4
6077,0
2109,5
879,8
2726,0
3812,0
1688,6
6168,0
3962,0
1184,7
649,13
170,11
249,11
5089,1
3794,0
2986,4
6711,0
2827,4
2954,1
121,7
5930,0
3762,3
213,8
6606,0
1454,3
2309,4
5370,1
1663,6
5216,0
3727,0
6354,0
2165,1
3,12
1049,7
1871,5
5009,1
4832,2
5992,0
2589,4
2033,5
19,11
5666,1
1830,5
5204,1
2647,0
4693,2
3746,0
4791,2
2697,4
5544,1
3499,0
2629,0
3202,3
2673,4
192,10
698,10
581,9
1566,1
2921,
1543,6
4568,2
1380,6
2699,4
5290,1
779,9
6494,0
4703,2
6419,0
2862,0
6210,0
1293,4
5729,4
6592,0
2513,4
1626,6
474,7
5117,1
5485,1
4547,2
6688,0
6182,0
1132,7
3486,3
6027,0
4643,2
4199,2
3431,0
5401,1
5692,1
5627,1
2924,1
3493,3
3559,3
3932,0
4649,2
3039,1
5554,0
6128,0
2670,4
3375,1
3068,0
2210,2
102,13
3599,3
4196,2
3140,0
1292,3
4322,2
6610,0
6555,0
1880,5
4073,2
2590,2
4914,1
4519,2
2519,4
3957,3
4452,2
2466,4
3700,0
5963,0
4112,2
5143,1
5074,1
4583,2
4142,2
5625,1
1757,1
1174,7
NE,
599,6
2544,4
5050,1
5455,1
1990,5
1577,6
90,13
3706,0
4493,2
5685,1
5809,1
451,9
3196,3
2120,0
2253,5
6414,0
4996,1
6552,0
3178,3
5947,0
1843,5
6052,0
4891,0
6138,0
1206,3
1021,3
1263,7
5774,1
4728,2
3304,3
4025,0
1150,7
2350,4
3280,3
4778,2
3619,3
9,13
1846,3
1106,4
702,9
3575,3
1009,6
5891,0
